Market-TC,Location,GeoKey
Greece-Diplomatic,Piraeus,47-DI-1309
Greece-Ferries,"Thessaloniki Port, Symi Port, Kastelorizo Port, Piraeus Port, Kos Port, Heraklion Port, Corfu Port, Igoumenitsa Port, Rhodes Port, Mykonos Port, Mitilini Port, Samos Port, Santorini Port, Katakolo Port","47-FE-1833, 47-FE-1816, 47-FE-1569, 47-FE-1714, 47-FE-3905, 47-FE-3906, 47-FE-1427, 47-FE-1548, 47-FE-1751, 47-FE-3796, 47-FE-1636, 47-FE-3066, 47-FE-1775, 47-FE-1570"
Greece-Shipchandling,"Piraeus Port, Thessaloniki","47-SH-2315, 47-SH-2414"
Grenada-Airports,St. George's Point Saline,141-AI-683
Grenada-Ferries,St. George Port,141-FE-1803
Guadalupe-Airports,Pointe-a-Pitre,142-AI-562
Guadalupe-Ferries,Point-a-Pitre Port,142-FE-1716
Guatemala-Airports,Guatemala City,48-AI-267
Guinea DF-Airports,Conakry,248-AI-3076
Haiti-Diplomatic,Port-au-Prince,263-DI-3889
Honduras-Airports,Tegucigalpa,50-AI-710
Honduras-Ferries,Roatan,50-FE-1756
Hong Kong-Airlines,Hong Kong,51-AR-861
Hong Kong-Airports,Hong Kong,51-AI-293
Hong Kong-Borders,"Chek Lap Kok, Hom Hung, Lowu, West Kowloon, Lian Tang, Lok Ma Chau","51-BO-3655, 51-BO-1052, 51-BO-1055, 51-BO-3638, 51-BO-4263, 51-BO-1053"
Hong Kong-Diplomatic,Hong Kong,51-DI-1286
Hong Kong-Ferries,Hong Kong,51-FE-1418
Hong Kong-Shipchandling,Hong Kong,51-SH-2187
Hungary-Airlines,Budapest,52-AR-4185
Hungary-Airports,Budapest,52-AI-128
India-Airlines,Delhi,53-AR-3017
